seed,group,n,metric,paper1,mgg2l,delta
42,agreement,2957,nDCG@10,0.4070891098516542,0.4013542154194564,-0.0057348944321978235
42,agreement,2957,Precision@5,0.4995603652350355,0.48718295569834286,-0.01237740953669264
42,divergence,935,nDCG@10,0.3545700954783943,0.3506220994091195,-0.003947996069274817
42,divergence,935,Precision@5,0.5129411764705882,0.5075935828877005,-0.005347593582887722
17,agreement,2957,nDCG@10,0.3983555254558547,0.4031928381490367,0.00483731269318205
17,agreement,2957,Precision@5,0.4911734866418668,0.4883327696990193,-0.0028407169428474877
17,divergence,935,nDCG@10,0.3461618109439217,0.3604491102986121,0.01428729935469042
17,divergence,935,Precision@5,0.4945454545454545,0.5202139037433154,0.025668449197860932
123,agreement,2957,nDCG@10,0.3825452521237062,0.41019951182971803,0.02765425970601182
123,agreement,2957,Precision@5,0.4643219479201894,0.49347311464321947,0.029151166723030086
123,divergence,935,nDCG@10,0.33531026991859997,0.3638078603013195,0.02849759038271954
123,divergence,935,Precision@5,0.47379679144385034,0.5219251336898396,0.048128342245989275
3407,agreement,2957,nDCG@10,0.37936446002664787,0.3910872878139125,0.011722827787264634
3407,agreement,2957,Precision@5,0.4570172472100102,0.47372336827866085,0.01670612106865066
3407,divergence,935,nDCG@10,0.33772337295685245,0.3459708266661954,0.008247453709342933
3407,divergence,935,Precision@5,0.4720855614973262,0.4862032085561498,0.014117647058823568
