finding,agreement_pct,kappa,chexpert_pos,chexbert_pos
Atelectasis,91.64856384262612,0.7801180963666597,2672,3594
Cardiomegaly,84.01319494730066,0.5880357976347593,2702,3753
Consolidation,98.1414433985035,0.8164059510045242,624,705
Edema,97.40123903773433,0.894275277616584,1690,1875
Enlarged Cardiomediastinum,94.95534636736664,0.4257613468383236,392,747
Fracture,97.89202671172258,0.6220511756300143,256,456
Lung Lesion,98.14948909807708,0.7550540605568726,398,578
Lung Opacity,89.36358516372998,0.7331394031604306,3094,3704
No Finding,82.92702550486764,0.48207789398376,3462,1434
Pleural Effusion,94.32778180062756,0.8565787976253654,3154,3577
Pleural Other,98.86555636012552,0.6249156456210768,122,259
Pneumonia,94.32778180062756,0.569787951384874,1041,718
Pneumothorax,98.88164775927267,0.8224721410291528,448,361
Support Devices,88.48660391021,0.7469728578977645,3808,4771
