seed,metric,direction,full_corpus_value,full_corpus_n,restricted_subset_value,restricted_subset_n
17,nDCG@5,Image->Text,0.4207,12429,0.5056,10343
17,nDCG@5,Text->Image,0.4167,12429,0.5007,10343
17,nDCG@10,Image->Text,0.345,12429,0.4146,10343
17,nDCG@10,Text->Image,0.3403,12429,0.4089,10343
17,mAP@10,Image->Text,0.4252,12429,0.511,10343
17,mAP@10,Text->Image,0.4136,12429,0.497,10343
17,Precision@5,Image->Text,0.5441,12429,0.6539,10343
17,Precision@5,Text->Image,0.5337,12429,0.6414,10343
42,nDCG@5,Image->Text,0.4131,12429,0.4964,10343
42,nDCG@5,Text->Image,0.438,12429,0.5264,10343
42,nDCG@10,Image->Text,0.3369,12429,0.4048,10343
42,nDCG@10,Text->Image,0.3645,12429,0.438,10343
42,mAP@10,Image->Text,0.4207,12429,0.5055,10343
42,mAP@10,Text->Image,0.4685,12429,0.563,10343
42,Precision@5,Image->Text,0.5365,12429,0.6447,10343
42,Precision@5,Text->Image,0.5762,12429,0.6924,10343
123,nDCG@5,Image->Text,0.4182,12429,0.5026,10343
123,nDCG@5,Text->Image,0.4246,12429,0.5102,10343
123,nDCG@10,Image->Text,0.3409,12429,0.4096,10343
123,nDCG@10,Text->Image,0.3473,12429,0.4173,10343
123,mAP@10,Image->Text,0.4127,12429,0.496,10343
123,mAP@10,Text->Image,0.4281,12429,0.5144,10343
123,Precision@5,Image->Text,0.5369,12429,0.6452,10343
123,Precision@5,Text->Image,0.5494,12429,0.6602,10343
1337,nDCG@5,Image->Text,0.4147,12429,0.4983,10343
1337,nDCG@5,Text->Image,0.416,12429,0.4999,10343
1337,nDCG@10,Image->Text,0.3368,12429,0.4047,10343
1337,nDCG@10,Text->Image,0.3382,12429,0.4064,10343
1337,mAP@10,Image->Text,0.4007,12429,0.4815,10343
1337,mAP@10,Text->Image,0.4126,12429,0.4958,10343
1337,Precision@5,Image->Text,0.5256,12429,0.6316,10343
1337,Precision@5,Text->Image,0.5367,12429,0.6449,10343
2021,nDCG@5,Image->Text,0.4154,12429,0.4992,10343
2021,nDCG@5,Text->Image,0.4184,12429,0.5028,10343
2021,nDCG@10,Image->Text,0.3372,12429,0.4052,10343
2021,nDCG@10,Text->Image,0.3405,12429,0.4092,10343
2021,mAP@10,Image->Text,0.4118,12429,0.4949,10343
2021,mAP@10,Text->Image,0.4163,12429,0.5002,10343
2021,Precision@5,Image->Text,0.5364,12429,0.6445,10343
2021,Precision@5,Text->Image,0.5396,12429,0.6485,10343
3407,nDCG@5,Image->Text,0.4104,12429,0.4932,10343
3407,nDCG@5,Text->Image,0.4171,12429,0.5012,10343
3407,nDCG@10,Image->Text,0.3319,12429,0.3988,10343
3407,nDCG@10,Text->Image,0.3397,12429,0.4082,10343
3407,mAP@10,Image->Text,0.3913,12429,0.4702,10343
3407,mAP@10,Text->Image,0.4111,12429,0.494,10343
3407,Precision@5,Image->Text,0.5184,12429,0.623,10343
3407,Precision@5,Text->Image,0.5343,12429,0.642,10343
