seed,metric,direction,full_corpus_value,full_corpus_n,restricted_subset_value,restricted_subset_n
17,nDCG@5,Image->Text,0.3507,12429,0.4861,8968
17,nDCG@5,Text->Image,0.3455,12429,0.4788,8968
17,nDCG@10,Image->Text,0.2828,12429,0.3919,8968
17,nDCG@10,Text->Image,0.2767,12429,0.3835,8968
17,mAP@10,Image->Text,0.3027,12429,0.4195,8968
17,mAP@10,Text->Image,0.2908,12429,0.4031,8968
17,Precision@5,Image->Text,0.4163,12429,0.5769,8968
17,Precision@5,Text->Image,0.4061,12429,0.5628,8968
123,nDCG@5,Image->Text,0.3518,12429,0.4876,8968
123,nDCG@5,Text->Image,0.3516,12429,0.4873,8968
123,nDCG@10,Image->Text,0.2829,12429,0.3921,8968
123,nDCG@10,Text->Image,0.2822,12429,0.3911,8968
123,mAP@10,Image->Text,0.2968,12429,0.4113,8968
123,mAP@10,Text->Image,0.2981,12429,0.4132,8968
123,Precision@5,Image->Text,0.414,12429,0.5738,8968
123,Precision@5,Text->Image,0.4153,12429,0.5756,8968
3407,nDCG@5,Image->Text,0.343,12429,0.4753,8968
3407,nDCG@5,Text->Image,0.3453,12429,0.4786,8968
3407,nDCG@10,Image->Text,0.2726,12429,0.3777,8968
3407,nDCG@10,Text->Image,0.2746,12429,0.3806,8968
3407,mAP@10,Image->Text,0.2775,12429,0.3846,8968
3407,mAP@10,Text->Image,0.285,12429,0.395,8968
3407,Precision@5,Image->Text,0.3958,12429,0.5486,8968
3407,Precision@5,Text->Image,0.4039,12429,0.5597,8968
