seed,metric,direction,full_corpus_value,full_corpus_n,restricted_subset_value,restricted_subset_n
17,nDCG@5,Image->Text,0.4059,12429,0.4877,10343
17,nDCG@5,Text->Image,0.4143,12429,0.4979,10343
17,nDCG@10,Image->Text,0.3267,12429,0.3926,10343
17,nDCG@10,Text->Image,0.3379,12429,0.406,10343
17,mAP@10,Image->Text,0.3993,12429,0.4799,10343
17,mAP@10,Text->Image,0.4199,12429,0.5046,10343
17,Precision@5,Image->Text,0.5222,12429,0.6276,10343
17,Precision@5,Text->Image,0.5367,12429,0.645,10343
42,nDCG@5,Image->Text,0.4098,12429,0.4924,10343
42,nDCG@5,Text->Image,0.4246,12429,0.5103,10343
42,nDCG@10,Image->Text,0.3327,12429,0.3997,10343
42,nDCG@10,Text->Image,0.3496,12429,0.4201,10343
42,mAP@10,Image->Text,0.4062,12429,0.4881,10343
42,mAP@10,Text->Image,0.4403,12429,0.5291,10343
42,Precision@5,Image->Text,0.5271,12429,0.6334,10343
42,Precision@5,Text->Image,0.5547,12429,0.6666,10343
123,nDCG@5,Image->Text,0.4055,12429,0.4873,10343
123,nDCG@5,Text->Image,0.4161,12429,0.5,10343
123,nDCG@10,Image->Text,0.3289,12429,0.3953,10343
123,nDCG@10,Text->Image,0.3411,12429,0.4099,10343
123,mAP@10,Image->Text,0.3953,12429,0.475,10343
123,mAP@10,Text->Image,0.4203,12429,0.5051,10343
123,Precision@5,Image->Text,0.5197,12429,0.6245,10343
123,Precision@5,Text->Image,0.5372,12429,0.6455,10343
1337,nDCG@5,Image->Text,0.4075,12429,0.4896,10343
1337,nDCG@5,Text->Image,0.4159,12429,0.4997,10343
1337,nDCG@10,Image->Text,0.3291,12429,0.3955,10343
1337,nDCG@10,Text->Image,0.3371,12429,0.405,10343
1337,mAP@10,Image->Text,0.3886,12429,0.4669,10343
1337,mAP@10,Text->Image,0.4067,12429,0.4887,10343
1337,Precision@5,Image->Text,0.5145,12429,0.6183,10343
1337,Precision@5,Text->Image,0.5321,12429,0.6394,10343
2021,nDCG@5,Image->Text,0.3917,12429,0.4707,10343
2021,nDCG@5,Text->Image,0.4252,12429,0.511,10343
2021,nDCG@10,Image->Text,0.3114,12429,0.3742,10343
2021,nDCG@10,Text->Image,0.3511,12429,0.4219,10343
2021,mAP@10,Image->Text,0.3663,12429,0.4402,10343
2021,mAP@10,Text->Image,0.449,12429,0.5396,10343
2021,Precision@5,Image->Text,0.4915,12429,0.5907,10343
2021,Precision@5,Text->Image,0.5604,12429,0.6734,10343
3407,nDCG@5,Image->Text,0.4001,12429,0.4808,10343
3407,nDCG@5,Text->Image,0.4175,12429,0.5017,10343
3407,nDCG@10,Image->Text,0.3215,12429,0.3864,10343
3407,nDCG@10,Text->Image,0.3409,12429,0.4096,10343
3407,mAP@10,Image->Text,0.3787,12429,0.4551,10343
3407,mAP@10,Text->Image,0.4211,12429,0.506,10343
3407,Precision@5,Image->Text,0.5053,12429,0.6072,10343
3407,Precision@5,Text->Image,0.5404,12429,0.6493,10343
