epoch,total_loss,synergy_loss,main_loss,ortho_loss,diff_loss,gran_loss,val_recall@1,val_i2t_recall@1,val_t2i_recall@1,val_recall@5,val_recall@10,val_mrr
1,7.767596,4.85125,4.85236,18.16637,4.850087,9.188564,0.0003,0.0003,0.0003,0.0017,0.0035,0.0029
2,5.686537,4.849391,4.849644,4.308367,4.849572,9.182485,0.0003,0.0003,0.0003,0.0017,0.0033,0.0028
3,5.369625,4.848837,4.849102,2.199634,4.849432,9.181159,0.0003,0.0003,0.0003,0.0015,0.0033,0.0029
4,5.432277,4.848507,4.848823,2.618372,4.849397,9.182272,0.0003,0.0003,0.0003,0.0018,0.0032,0.0028
5,5.332855,4.848222,4.848615,1.958464,4.849351,9.180183,0.0003,0.0003,0.0003,0.0017,0.0035,0.0029
6,5.415444,4.847947,4.848417,2.510807,4.84931,9.179742,0.0003,0.0003,0.0003,0.0015,0.0035,0.0029
7,5.353762,4.847756,4.848274,2.100876,4.849315,9.179339,0.0003,0.0003,0.0003,0.0018,0.0033,0.0029
8,5.45524,4.84748,4.848079,2.779438,4.849293,9.17847,0.0003,0.0003,0.0003,0.0015,0.0035,0.0029
9,5.247371,4.847214,4.847883,1.395512,4.849265,9.17778,0.0003,0.0003,0.0003,0.0015,0.0033,0.0029
10,5.140771,4.846739,4.847556,0.687834,4.849244,9.177043,0.0003,0.0003,0.0003,0.0017,0.0032,0.0029
11,5.139455,4.845971,4.847032,0.68409,4.849215,9.17554,0.0003,0.0003,0.0003,0.0017,0.0032,0.0029
12,5.135932,4.844884,4.846317,0.667919,4.849189,9.173068,0.0003,0.0003,0.0003,0.0018,0.0037,0.003
13,5.133556,4.843247,4.845218,0.663363,4.849129,9.168971,0.0007,0.0007,0.0007,0.0033,0.0057,0.0038
14,5.129415,4.840255,4.84324,0.654275,4.849043,9.164602,0.0005,0.0003,0.0007,0.0033,0.0067,0.0038
15,5.120257,4.833875,4.839122,0.633327,4.848932,9.154143,0.0007,0.0007,0.0007,0.0033,0.0067,0.0039
16,5.102959,4.814798,4.827268,0.639462,4.848743,9.119673,0.0007,0.0007,0.0007,0.0035,0.0068,0.0039
17,5.030116,4.69193,4.751483,0.926298,4.848225,8.911206,0.0007,0.0007,0.0007,0.0033,0.0067,0.0039
18,4.607338,4.110155,4.252745,2.029779,4.847178,7.807209,0.0007,0.0007,0.0007,0.0037,0.0077,0.0043
19,4.183662,3.630775,3.87184,2.35302,4.848921,6.96337,0.0025,0.0027,0.0023,0.0102,0.0168,0.0083
20,3.886755,3.313816,3.588466,2.518571,4.849249,6.372958,0.003,0.0033,0.0027,0.0112,0.0183,0.0094
21,3.517405,3.102545,3.388628,1.504335,4.849469,5.973752,0.003,0.0027,0.0033,0.0105,0.0177,0.0089
22,3.410831,2.942447,3.235603,1.896836,4.849932,5.665938,0.0038,0.0033,0.0043,0.0127,0.0222,0.0109
23,3.2776,2.814453,3.124483,1.868807,4.849862,5.429882,0.0027,0.002,0.0033,0.0113,0.0185,0.009
24,3.157234,2.739863,3.062768,1.562919,4.850119,5.293314,0.0033,0.0037,0.003,0.0122,0.0185,0.0093
25,3.034014,2.628635,2.998095,1.425506,4.849421,5.119564,0.0037,0.0047,0.0027,0.01,0.018,0.0096
26,2.527212,2.112868,2.632281,1.346217,4.849101,4.254587,0.0047,0.0053,0.004,0.0123,0.017,0.0106
27,2.204754,1.810648,2.387576,1.176192,4.849371,3.738885,0.009,0.0117,0.0063,0.0218,0.0318,0.0195
