epoch,total_loss,synergy_loss,main_loss,ortho_loss,diff_loss,gran_loss,val_recall@1,val_i2t_recall@1,val_t2i_recall@1,val_recall@5,val_recall@10,val_mrr
1,7.111016,4.851611,4.852349,19.913327,4.851015,,0.0003,0.0003,0.0003,0.0013,0.0035,0.0028
2,4.990167,4.849575,4.849554,5.786887,4.849661,,0.0003,0.0003,0.0003,0.0017,0.0032,0.0028
3,4.563237,4.848931,4.849166,2.94399,4.849477,,0.0003,0.0003,0.0003,0.0015,0.0032,0.0029
4,4.517515,4.848573,4.848917,2.641061,4.849366,,0.0003,0.0003,0.0003,0.0017,0.0033,0.0029
5,4.485134,4.848319,4.848712,2.426561,4.849259,,0.0003,0.0003,0.0003,0.0017,0.0033,0.0029
6,4.459044,4.848091,4.848525,2.253866,4.849204,,0.0003,0.0003,0.0003,0.0017,0.0035,0.0029
7,4.438765,4.847842,4.84834,2.119998,4.849124,,0.0003,0.0003,0.0003,0.0018,0.0037,0.0029
8,4.420464,4.847595,4.84816,1.999307,4.849115,,0.0005,0.0003,0.0007,0.002,0.0038,0.0031
9,4.404908,4.847308,4.847975,1.897081,4.849081,,0.0005,0.0003,0.0007,0.002,0.004,0.0032
10,4.391656,4.846958,4.847726,1.810583,4.849053,,0.0005,0.0003,0.0007,0.0025,0.0047,0.0033
11,4.378737,4.846592,4.847493,1.726358,4.84905,,0.0005,0.0003,0.0007,0.0025,0.0047,0.0033
12,4.367759,4.846117,4.847179,1.655651,4.849029,,0.0005,0.0003,0.0007,0.0025,0.0045,0.0033
13,4.357557,4.845447,4.846766,1.591091,4.849015,,0.0005,0.0003,0.0007,0.0027,0.0048,0.0034
14,4.348867,4.844556,4.846205,1.537763,4.849015,,0.0007,0.0007,0.0007,0.0028,0.0057,0.0037
15,4.339344,4.843202,4.84535,1.481288,4.848979,,0.0007,0.0007,0.0007,0.0033,0.0067,0.0039
16,4.331035,4.840902,4.843903,1.437791,4.848927,,0.0007,0.0007,0.0007,0.0035,0.0068,0.004
17,4.321109,4.836955,4.841474,1.391958,4.848852,,0.0007,0.0007,0.0007,0.0037,0.0068,0.0039
