size,arm,seed,metric,direction,restricted_subset_value,restricted_subset_n
2553,Paper 1,17,nDCG@5,Image->Text,0.489416,10343
2553,Paper 1,17,nDCG@10,Image->Text,0.397678,10343
2553,Paper 1,17,mAP@10,Image->Text,0.481415,10343
2553,Paper 1,17,Precision@5,Image->Text,0.630881,10343
2553,Paper 1,17,nDCG@5,Text->Image,0.496650,10343
2553,Paper 1,17,nDCG@10,Text->Image,0.405832,10343
2553,Paper 1,17,mAP@10,Text->Image,0.500502,10343
2553,Paper 1,17,Precision@5,Text->Image,0.646118,10343
2553,MG-G2L,17,nDCG@5,Image->Text,0.505895,10343
2553,MG-G2L,17,nDCG@10,Image->Text,0.414448,10343
2553,MG-G2L,17,mAP@10,Image->Text,0.520248,10343
2553,MG-G2L,17,Precision@5,Image->Text,0.660795,10343
2553,MG-G2L,17,nDCG@5,Text->Image,0.479475,10343
2553,MG-G2L,17,nDCG@10,Text->Image,0.386659,10343
2553,MG-G2L,17,mAP@10,Text->Image,0.467406,10343
2553,MG-G2L,17,Precision@5,Text->Image,0.611737,10343
2553,Paper 1,42,nDCG@5,Image->Text,0.476111,10343
2553,Paper 1,42,nDCG@10,Image->Text,0.383757,10343
2553,Paper 1,42,mAP@10,Image->Text,0.469063,10343
2553,Paper 1,42,Precision@5,Image->Text,0.615469,10343
2553,Paper 1,42,nDCG@5,Text->Image,0.485316,10343
2553,Paper 1,42,nDCG@10,Text->Image,0.392464,10343
2553,Paper 1,42,mAP@10,Text->Image,0.483070,10343
2553,Paper 1,42,Precision@5,Text->Image,0.628522,10343
2553,MG-G2L,42,nDCG@5,Image->Text,0.485044,10343
2553,MG-G2L,42,nDCG@10,Image->Text,0.391077,10343
2553,MG-G2L,42,mAP@10,Image->Text,0.461582,10343
2553,MG-G2L,42,Precision@5,Image->Text,0.614947,10343
2553,MG-G2L,42,nDCG@5,Text->Image,0.499945,10343
2553,MG-G2L,42,nDCG@10,Text->Image,0.408866,10343
2553,MG-G2L,42,mAP@10,Text->Image,0.503505,10343
2553,MG-G2L,42,Precision@5,Text->Image,0.647762,10343
2553,Paper 1,123,nDCG@5,Image->Text,0.318343,10343
2553,Paper 1,123,nDCG@10,Image->Text,0.291236,10343
2553,Paper 1,123,mAP@10,Image->Text,0.423486,10343
2553,Paper 1,123,Precision@5,Image->Text,0.570067,10343
2553,Paper 1,123,nDCG@5,Text->Image,0.318554,10343
2553,Paper 1,123,nDCG@10,Text->Image,0.292917,10343
2553,Paper 1,123,mAP@10,Text->Image,0.432043,10343
2553,Paper 1,123,Precision@5,Text->Image,0.581727,10343
2553,MG-G2L,123,nDCG@5,Image->Text,0.486672,10343
2553,MG-G2L,123,nDCG@10,Image->Text,0.393903,10343
2553,MG-G2L,123,mAP@10,Image->Text,0.470571,10343
2553,MG-G2L,123,Precision@5,Image->Text,0.617828,10343
2553,MG-G2L,123,nDCG@5,Text->Image,0.504123,10343
2553,MG-G2L,123,nDCG@10,Text->Image,0.414546,10343
2553,MG-G2L,123,mAP@10,Text->Image,0.514635,10343
2553,MG-G2L,123,Precision@5,Text->Image,0.653853,10343
10000,Paper 1,17,nDCG@5,Image->Text,0.482447,10343
10000,Paper 1,17,nDCG@10,Image->Text,0.391309,10343
10000,Paper 1,17,mAP@10,Image->Text,0.471771,10343
10000,Paper 1,17,Precision@5,Image->Text,0.620149,10343
10000,Paper 1,17,nDCG@5,Text->Image,0.483699,10343
10000,Paper 1,17,nDCG@10,Text->Image,0.391999,10343
10000,Paper 1,17,mAP@10,Text->Image,0.475396,10343
10000,Paper 1,17,Precision@5,Text->Image,0.625447,10343
10000,MG-G2L,17,nDCG@5,Image->Text,0.482036,10343
10000,MG-G2L,17,nDCG@10,Image->Text,0.386665,10343
10000,MG-G2L,17,mAP@10,Image->Text,0.461796,10343
10000,MG-G2L,17,Precision@5,Image->Text,0.613400,10343
10000,MG-G2L,17,nDCG@5,Text->Image,0.502325,10343
10000,MG-G2L,17,nDCG@10,Text->Image,0.410328,10343
10000,MG-G2L,17,mAP@10,Text->Image,0.505481,10343
10000,MG-G2L,17,Precision@5,Text->Image,0.649347,10343
10000,Paper 1,42,nDCG@5,Image->Text,0.324751,10343
10000,Paper 1,42,nDCG@10,Image->Text,0.297930,10343
10000,Paper 1,42,mAP@10,Image->Text,0.420353,10343
10000,Paper 1,42,Precision@5,Image->Text,0.565407,10343
10000,Paper 1,42,nDCG@5,Text->Image,0.356051,10343
10000,Paper 1,42,nDCG@10,Text->Image,0.316433,10343
10000,Paper 1,42,mAP@10,Text->Image,0.438080,10343
10000,Paper 1,42,Precision@5,Text->Image,0.589113,10343
10000,MG-G2L,42,nDCG@5,Image->Text,0.505237,10343
10000,MG-G2L,42,nDCG@10,Image->Text,0.413957,10343
10000,MG-G2L,42,mAP@10,Image->Text,0.516706,10343
10000,MG-G2L,42,Precision@5,Image->Text,0.657875,10343
10000,MG-G2L,42,nDCG@5,Text->Image,0.481767,10343
10000,MG-G2L,42,nDCG@10,Text->Image,0.387877,10343
10000,MG-G2L,42,mAP@10,Text->Image,0.468074,10343
10000,MG-G2L,42,Precision@5,Text->Image,0.614077,10343
10000,Paper 1,123,nDCG@5,Image->Text,0.499288,10343
10000,Paper 1,123,nDCG@10,Image->Text,0.410467,10343
10000,Paper 1,123,mAP@10,Image->Text,0.510804,10343
10000,Paper 1,123,Precision@5,Image->Text,0.650624,10343
10000,Paper 1,123,nDCG@5,Text->Image,0.476920,10343
10000,Paper 1,123,nDCG@10,Text->Image,0.384137,10343
10000,Paper 1,123,mAP@10,Text->Image,0.462619,10343
10000,Paper 1,123,Precision@5,Text->Image,0.609243,10343
10000,MG-G2L,123,nDCG@5,Image->Text,0.478229,10343
10000,MG-G2L,123,nDCG@10,Image->Text,0.382856,10343
10000,MG-G2L,123,mAP@10,Image->Text,0.439539,10343
10000,MG-G2L,123,Precision@5,Image->Text,0.593309,10343
10000,MG-G2L,123,nDCG@5,Text->Image,0.495701,10343
10000,MG-G2L,123,nDCG@10,Text->Image,0.403272,10343
10000,MG-G2L,123,mAP@10,Text->Image,0.482783,10343
10000,MG-G2L,123,Precision@5,Text->Image,0.632176,10343
