size,arm,seed,direction,R@1,R@5
2553,Paper 1,17,Image->Text,0.987449,1.000000
2553,Paper 1,17,Text->Image,0.979403,0.999678
2553,MG-G2L,17,Image->Text,1.000000,1.000000
2553,MG-G2L,17,Text->Image,0.999920,1.000000
2553,Paper 1,42,Image->Text,0.953818,0.999920
2553,Paper 1,42,Text->Image,0.971518,0.999517
2553,MG-G2L,42,Image->Text,0.997345,1.000000
2553,MG-G2L,42,Text->Image,1.000000,1.000000
2553,Paper 1,123,Image->Text,0.228176,0.492960
2553,Paper 1,123,Text->Image,0.223268,0.448145
2553,MG-G2L,123,Image->Text,0.999598,1.000000
2553,MG-G2L,123,Text->Image,1.000000,1.000000
10000,Paper 1,17,Image->Text,0.959852,0.999517
10000,Paper 1,17,Text->Image,0.954542,0.999276
10000,MG-G2L,17,Image->Text,1.000000,1.000000
10000,MG-G2L,17,Text->Image,0.999598,1.000000
10000,Paper 1,42,Image->Text,0.264301,0.450076
10000,Paper 1,42,Text->Image,0.350149,0.602301
10000,MG-G2L,42,Image->Text,1.000000,1.000000
10000,MG-G2L,42,Text->Image,0.998471,1.000000
10000,Paper 1,123,Image->Text,0.976828,1.000000
10000,Paper 1,123,Text->Image,0.979403,1.000000
10000,MG-G2L,123,Image->Text,0.999839,1.000000
10000,MG-G2L,123,Text->Image,0.999678,1.000000
