size,arm,seed,job_id,epochs,best_val_R@1,best_epoch,final_val_R@1,drop_best_minus_final,converged_best_ge_0.90
2553,Paper 1,17,115261,1522,0.9952,1291,0.9823,0.0129,True
2553,Paper 1,42,115262,1522,0.9895,1469,0.8687,0.1208,True
2553,Paper 1,123,115263,1522,0.4093,1464,0.2032,0.2061,False
2553,MG-G2L,17,115264,1522,1.0000,1522,1.0000,0.0000,True
2553,MG-G2L,42,115265,1522,0.9993,1521,0.9807,0.0186,True
2553,MG-G2L,123,115266,1522,1.0000,1521,0.9997,0.0003,True
10000,Paper 1,17,115267,385,0.9887,338,0.7963,0.1924,True
10000,Paper 1,42,115268,385,0.4843,196,0.1283,0.3560,False
10000,Paper 1,123,115269,385,0.9922,271,0.2373,0.7549,True
10000,MG-G2L,17,115270,385,1.0000,384,0.9998,0.0002,True
10000,MG-G2L,42,115271,385,1.0000,385,1.0000,0.0000,True
10000,MG-G2L,123,115272,385,1.0000,385,1.0000,0.0000,True

# mean drop per arm per size
2553,Paper 1,,,,,,,0.1133,
2553,MG-G2L,,,,,,,0.0063,
10000,Paper 1,,,,,,,0.4344,
10000,MG-G2L,,,,,,,0.0001,

# paired cells: Paper1 drop > MG-G2L drop
size,seed,paper1_drop,mgg2l_drop,paper1_larger
2553,17,0.0129,0.0000,True
2553,42,0.1208,0.0186,True
2553,123,0.2061,0.0003,True
10000,17,0.1924,0.0002,True
10000,42,0.3560,0.0000,True
10000,123,0.7549,0.0000,True
"# 6/6 cells, sign-test p=0.0312; seeds repeat across sizes so cells are not fully independent"
