study_id,findings_token_count,has_findings,has_impression
1,19,1,1
1_aug_1,24,1,1
1_aug_2,25,1,1
1_aug_3,30,1,1
1_aug_4,25,1,1
1_aug_5,31,1,1
1_aug_6,24,1,1
3,0,0,1
3_aug_1,0,0,1
3_aug_2,0,0,1
3_aug_3,0,0,1
3_aug_4,0,0,1
3_aug_5,0,0,1
3_aug_6,0,0,1
7,12,1,1
7_aug_1,15,1,1
7_aug_2,15,1,1
7_aug_3,20,1,1
7_aug_4,12,1,1
7_aug_5,15,1,1
7_aug_6,12,1,1
8,23,1,1
8_aug_1,25,1,1
8_aug_2,24,1,1
8_aug_3,26,1,1
8_aug_4,25,1,1
8_aug_5,31,1,1
8_aug_6,29,1,1
9,29,1,1
9_aug_1,32,1,1
9_aug_2,32,1,1
9_aug_3,30,1,1
9_aug_4,32,1,1
9_aug_5,31,1,1
9_aug_6,31,1,1
11,17,1,1
11_aug_1,24,1,1
11_aug_2,23,1,1
11_aug_3,22,1,1
11_aug_4,22,1,1
11_aug_5,25,1,1
11_aug_6,24,1,1
13,19,1,1
13_aug_1,21,1,1
13_aug_2,19,1,1
13_aug_3,28,1,1
13_aug_4,29,1,1
13_aug_5,21,1,1
13_aug_6,29,1,1
14,34,1,1
14_aug_1,37,1,1
14_aug_2,39,1,1
14_aug_3,38,1,1
14_aug_4,37,1,1
14_aug_5,39,1,1
14_aug_6,38,1,1
15,21,1,1
15_aug_1,23,1,1
15_aug_2,24,1,1
15_aug_3,27,1,1
15_aug_4,22,1,1
15_aug_5,24,1,1
15_aug_6,22,1,1
18,21,1,1
18_aug_1,23,1,1
18_aug_2,27,1,1
18_aug_3,24,1,1
18_aug_4,23,1,1
18_aug_5,28,1,1
18_aug_6,26,1,1
19,22,1,1
19_aug_1,29,1,1
19_aug_2,30,1,1
19_aug_3,24,1,1
19_aug_4,31,1,1
19_aug_5,24,1,1
19_aug_6,24,1,1
21,0,0,1
21_aug_1,0,0,1
21_aug_2,0,0,1
21_aug_3,0,0,1
21_aug_4,0,0,1
21_aug_5,0,0,1
21_aug_6,0,0,1
23,18,1,1
23_aug_1,20,1,1
23_aug_2,21,1,1
23_aug_3,25,1,1
23_aug_4,19,1,1
23_aug_5,24,1,1
23_aug_6,23,1,1
24,30,1,1
24_aug_1,32,1,1
24_aug_2,32,1,1
24_aug_3,30,1,1
24_aug_4,35,1,1
24_aug_5,32,1,1
24_aug_6,34,1,1
25,34,1,1
25_aug_1,35,1,1
25_aug_2,38,1,1
25_aug_3,37,1,1
25_aug_4,38,1,1
25_aug_5,38,1,1
25_aug_6,38,1,1
26,7,1,1
26_aug_1,8,1,1
26_aug_2,7,1,1
26_aug_3,7,1,1
26_aug_4,10,1,1
26_aug_5,7,1,1
26_aug_6,8,1,1
27,21,1,1
27_aug_1,25,1,1
27_aug_2,25,1,1
27_aug_3,23,1,1
27_aug_4,22,1,1
27_aug_5,23,1,1
27_aug_6,21,1,1
29,0,0,1
29_aug_1,0,0,1
29_aug_2,0,0,1
29_aug_3,0,0,1
29_aug_4,0,0,1
29_aug_5,0,0,1
29_aug_6,0,0,1
30,18,1,1
30_aug_1,21,1,1
30_aug_2,21,1,1
30_aug_3,19,1,1
30_aug_4,19,1,1
30_aug_5,18,1,1
30_aug_6,22,1,1
31,0,0,1
31_aug_1,0,0,1
31_aug_2,0,0,1
31_aug_3,0,0,1
31_aug_4,0,0,1
31_aug_5,0,0,1
31_aug_6,0,0,1
32,13,1,1
32_aug_1,18,1,1
32_aug_2,16,1,1
32_aug_3,13,1,1
32_aug_4,15,1,1
32_aug_5,13,1,1
32_aug_6,13,1,1
33,15,1,1
33_aug_1,15,1,1
33_aug_2,16,1,1
33_aug_3,16,1,1
33_aug_4,17,1,1
33_aug_5,15,1,1
33_aug_6,20,1,1
34,12,1,1
34_aug_1,14,1,1
34_aug_2,14,1,1
34_aug_3,13,1,1
34_aug_4,16,1,1
34_aug_5,12,1,1
34_aug_6,15,1,1
38,14,1,1
38_aug_1,16,1,1
38_aug_2,17,1,1
38_aug_3,18,1,1
38_aug_4,16,1,1
38_aug_5,17,1,1
38_aug_6,18,1,1
40,24,1,1
40_aug_1,30,1,1
40_aug_2,28,1,1
40_aug_3,25,1,1
40_aug_4,26,1,1
40_aug_5,27,1,1
40_aug_6,29,1,1
42,21,1,1
42_aug_1,22,1,1
42_aug_2,27,1,1
42_aug_3,22,1,1
42_aug_4,26,1,1
42_aug_5,25,1,1
42_aug_6,24,1,1
44,17,1,1
44_aug_1,23,1,1
44_aug_2,20,1,1
44_aug_3,19,1,1
44_aug_4,20,1,1
44_aug_5,20,1,1
44_aug_6,20,1,1
45,17,1,1
45_aug_1,21,1,1
45_aug_2,21,1,1
45_aug_3,19,1,1
45_aug_4,19,1,1
45_aug_5,21,1,1
45_aug_6,19,1,1
46,0,0,1
46_aug_1,0,0,1
46_aug_2,0,0,1
46_aug_3,0,0,1
46_aug_4,0,0,1
46_aug_5,0,0,1
46_aug_6,0,0,1
49,40,1,1
49_aug_1,48,1,1
49_aug_2,49,1,1
49_aug_3,48,1,1
49_aug_4,47,1,1
49_aug_5,47,1,1
49_aug_6,43,1,1
50,16,1,1
50_aug_1,19,1,1
50_aug_2,17,1,1
50_aug_3,16,1,1
50_aug_4,16,1,1
50_aug_5,17,1,1
50_aug_6,17,1,1
52,13,1,1
52_aug_1,17,1,1
52_aug_2,16,1,1
52_aug_3,18,1,1
52_aug_4,14,1,1
52_aug_5,14,1,1
52_aug_6,17,1,1
53,20,1,1
53_aug_1,24,1,1
53_aug_2,23,1,1
53_aug_3,24,1,1
53_aug_4,22,1,1
53_aug_5,22,1,1
53_aug_6,27,1,1
54,42,1,1
54_aug_1,43,1,1
54_aug_2,43,1,1
54_aug_3,42,1,1
54_aug_4,46,1,1
54_aug_5,44,1,1
54_aug_6,44,1,1
55,12,1,1
55_aug_1,17,1,1
55_aug_2,14,1,1
55_aug_3,12,1,1
55_aug_4,13,1,1
55_aug_5,12,1,1
55_aug_6,15,1,1
57,31,1,1
57_aug_1,34,1,1
57_aug_2,42,1,1
57_aug_3,36,1,1
57_aug_4,39,1,1
57_aug_5,36,1,1
57_aug_6,34,1,1
58,14,1,1
58_aug_1,14,1,1
58_aug_2,14,1,1
58_aug_3,19,1,1
58_aug_4,16,1,1
58_aug_5,16,1,1
58_aug_6,15,1,1
59,23,1,1
59_aug_1,24,1,1
59_aug_2,25,1,1
59_aug_3,24,1,1
59_aug_4,24,1,1
59_aug_5,25,1,1
59_aug_6,25,1,1
60,39,1,1
60_aug_1,44,1,1
60_aug_2,44,1,1
60_aug_3,44,1,1
60_aug_4,40,1,1
60_aug_5,43,1,1
60_aug_6,40,1,1
62,34,1,1
62_aug_1,37,1,1
62_aug_2,39,1,1
62_aug_3,36,1,1
62_aug_4,35,1,1
62_aug_5,36,1,1
62_aug_6,36,1,1
64,39,1,1
64_aug_1,43,1,1
64_aug_2,42,1,1
64_aug_3,41,1,1
64_aug_4,43,1,1
64_aug_5,44,1,1
64_aug_6,44,1,1
66,24,1,1
