seed,metric,direction,full_corpus_value,full_corpus_n,restricted_subset_value,restricted_subset_n
17,nDCG@5,Image->Text,0.149,752,0.4135,271
17,nDCG@10,Image->Text,0.1149,752,0.3188,271
17,mAP@10,Image->Text,0.0559,752,0.1551,271
17,Precision@5,Image->Text,0.1037,752,0.2878,271
17,nDCG@5,Text->Image,0.1483,752,0.4115,271
17,nDCG@10,Text->Image,0.1115,752,0.3094,271
17,mAP@10,Text->Image,0.0546,752,0.1514,271
17,Precision@5,Text->Image,0.1045,752,0.29,271
42,nDCG@5,Image->Text,0.1508,752,0.4184,271
42,nDCG@10,Image->Text,0.1137,752,0.3154,271
42,mAP@10,Image->Text,0.0561,752,0.1557,271
42,Precision@5,Image->Text,0.1066,752,0.2959,271
42,nDCG@5,Text->Image,0.1532,752,0.425,271
42,nDCG@10,Text->Image,0.1183,752,0.3284,271
42,mAP@10,Text->Image,0.0611,752,0.1694,271
42,Precision@5,Text->Image,0.1122,752,0.3114,271
123,nDCG@5,Image->Text,0.1488,752,0.413,271
123,nDCG@10,Image->Text,0.1128,752,0.3129,271
123,mAP@10,Image->Text,0.0559,752,0.1551,271
123,Precision@5,Image->Text,0.1053,752,0.2923,271
123,nDCG@5,Text->Image,0.1495,752,0.4148,271
123,nDCG@10,Text->Image,0.1135,752,0.3149,271
123,mAP@10,Text->Image,0.0568,752,0.1577,271
123,Precision@5,Text->Image,0.1066,752,0.2959,271
1337,nDCG@5,Image->Text,0.1482,752,0.4112,271
1337,nDCG@10,Image->Text,0.1139,752,0.316,271
1337,mAP@10,Image->Text,0.0574,752,0.1594,271
1337,Precision@5,Image->Text,0.1051,752,0.2915,271
1337,nDCG@5,Text->Image,0.1521,752,0.422,271
1337,nDCG@10,Text->Image,0.1173,752,0.3254,271
1337,mAP@10,Text->Image,0.0605,752,0.168,271
1337,Precision@5,Text->Image,0.1106,752,0.307,271
2021,nDCG@5,Image->Text,0.1518,752,0.4212,271
2021,nDCG@10,Image->Text,0.117,752,0.3246,271
2021,mAP@10,Image->Text,0.059,752,0.1638,271
2021,Precision@5,Image->Text,0.1085,752,0.3011,271
2021,nDCG@5,Text->Image,0.1473,752,0.4087,271
2021,nDCG@10,Text->Image,0.1115,752,0.3095,271
2021,mAP@10,Text->Image,0.0542,752,0.1504,271
2021,Precision@5,Text->Image,0.104,752,0.2886,271
3407,nDCG@5,Image->Text,0.1503,752,0.4171,271
3407,nDCG@10,Image->Text,0.1158,752,0.3212,271
3407,mAP@10,Image->Text,0.0582,752,0.1615,271
3407,Precision@5,Image->Text,0.108,752,0.2996,271
3407,nDCG@5,Text->Image,0.1483,752,0.4114,271
3407,nDCG@10,Text->Image,0.1135,752,0.315,271
3407,mAP@10,Text->Image,0.0558,752,0.1549,271
3407,Precision@5,Text->Image,0.1053,752,0.2923,271
