subset,metric,direction,n_impression_only_restricted,n_both_restricted,mde_two_sample_80pct,mean_delta_impression_only,mean_delta_both,p1_mean_impression_only,p1_mean_both,headroom_norm_impression_only,headroom_norm_both,mannwhitney_p_median,n_seeds_p_lt_05,n_seeds
all6,nDCG@5,Image->Text,35,236,0.048819052805684084,-0.013960304396614045,0.0004692045351604981,0.4406015823372836,0.41364919919943427,-0.026352273663301357,0.0005594956577621666,0.26828033194509876,0,6
conv5,nDCG@5,Image->Text,35,236,0.048819052805684084,-0.017416165534230445,-0.0028455602568755256,0.44629689634318853,0.4176655073104588,-0.03275188046432807,-0.004949357051604921,0.23853143837154067,0,5
all6,nDCG@5,Text->Image,35,236,0.05635155456114083,0.009193130426902158,0.001324173536282624,0.431787379026264,0.41046971528882786,0.013055451969705957,0.0005997666099963117,0.6452392683286998,0,6
conv5,nDCG@5,Text->Image,35,236,0.05635155456114083,-0.00631629019762101,-0.010193688224976188,0.443866112652817,0.421028395964757,-0.011931092293432194,-0.017624141094735514,0.5903535689401582,0,5
all6,nDCG@10,Image->Text,35,236,0.03934846651595238,-0.009768120991505964,0.0006834582917082521,0.34630496160139285,0.3147549609675853,-0.015394961424179022,0.0009684952732415497,0.26121775293547744,1,6
conv5,nDCG@10,Image->Text,35,236,0.03934846651595238,-0.008016871219240978,-0.0007699369443998161,0.3468575670041146,0.3163586233951939,-0.012830220825270388,-0.0011314317404218812,0.2530420362509055,1,5
all6,nDCG@10,Text->Image,35,236,0.039989314757047714,0.006066313564733052,0.001130114260063172,0.3407105321459402,0.3115817213966856,0.0076499342497714055,0.0008524196293728054,0.7265817258118512,0,6
conv5,nDCG@10,Text->Image,35,236,0.039989314757047714,-0.007982848156674953,-0.008289044942296942,0.3493953201668943,0.31989536858659606,-0.01253935202285118,-0.012189918684736943,0.718809321052016,0,5
all6,mAP@10,Image->Text,35,236,0.03647526710417851,-0.012736205593348454,-0.0005188716258631496,0.17804157218442931,0.15792277598421664,-0.015719721345837868,-0.0006162640684588157,0.33351650481174455,1,6
conv5,mAP@10,Image->Text,35,236,0.03647526710417851,-0.010043990929705216,-0.0008322571966639753,0.17676371882086167,0.1578087839655636,-0.012439371964785517,-0.0009886071213139756,0.36268299683784944,1,5
all6,mAP@10,Text->Image,35,236,0.0389351959237537,0.007328609221466362,-0.003942919917496187,0.17143650793650791,0.15958823760200877,0.008134161431269374,-0.004851522948702146,0.5967390721343965,0,6
conv5,mAP@10,Text->Image,35,236,0.0389351959237537,-0.0016428571428571484,-0.009533192090395477,0.17664625850340132,0.16359449825127792,-0.0024517826274529295,-0.011402310874436855,0.6657462498875883,0,5
all6,Precision@5,Image->Text,35,236,0.07394654566956678,-0.025714285714285717,-0.0072033898305084755,0.33619047619047615,0.29957627118644076,-0.040060667264383704,-0.010383256009460549,0.5333882477557943,0,6
conv5,Precision@5,Image->Text,35,236,0.07394654566956678,-0.024,-0.005084745762711864,0.3371428571428571,0.2977966101694916,-0.03781639046085019,-0.007312848387823247,0.511729925041565,0,5
all6,Precision@5,Text->Image,35,236,0.07984152075791014,0.01047619047619048,-0.012005649717514125,0.32666666666666666,0.3036723163841809,0.013700424761030427,-0.017513297964535674,0.48409462489851846,1,6
conv5,Precision@5,Text->Image,35,236,0.07984152075791014,0.0034285714285714327,-0.017966101694915255,0.3314285714285714,0.3077966101694916,0.0033257556148758604,-0.025980496564535004,0.28611211745536724,1,5
