seed,metric,direction,full_corpus_value,full_corpus_n,restricted_subset_value,restricted_subset_n
17,nDCG@5,Image->Text,0.1525,752,0.4231,271
17,nDCG@10,Image->Text,0.1153,752,0.3201,271
17,mAP@10,Image->Text,0.0584,752,0.1622,271
17,Precision@5,Image->Text,0.1112,752,0.3085,271
17,nDCG@5,Text->Image,0.1532,752,0.425,271
17,nDCG@10,Text->Image,0.116,752,0.3219,271
17,mAP@10,Text->Image,0.0594,752,0.1648,271
17,Precision@5,Text->Image,0.112,752,0.3107,271
42,nDCG@5,Image->Text,0.1508,752,0.4186,271
42,nDCG@10,Image->Text,0.1149,752,0.3188,271
42,mAP@10,Image->Text,0.0573,752,0.159,271
42,Precision@5,Image->Text,0.1077,752,0.2989,271
42,nDCG@5,Text->Image,0.1524,752,0.4229,271
42,nDCG@10,Text->Image,0.1182,752,0.328,271
42,mAP@10,Text->Image,0.0611,752,0.1696,271
42,Precision@5,Text->Image,0.1128,752,0.3129,271
123,nDCG@5,Image->Text,0.1495,752,0.4149,271
123,nDCG@10,Image->Text,0.1143,752,0.3171,271
123,mAP@10,Image->Text,0.0558,752,0.1548,271
123,Precision@5,Image->Text,0.1053,752,0.2923,271
123,nDCG@5,Text->Image,0.1533,752,0.4255,271
123,nDCG@10,Text->Image,0.1169,752,0.3244,271
123,mAP@10,Text->Image,0.0604,752,0.1677,271
123,Precision@5,Text->Image,0.113,752,0.3137,271
1337,nDCG@5,Image->Text,0.1427,752,0.396,271
1337,nDCG@10,Image->Text,0.1123,752,0.3115,271
1337,mAP@10,Image->Text,0.0583,752,0.1618,271
1337,Precision@5,Image->Text,0.1122,752,0.3114,271
1337,nDCG@5,Text->Image,0.1295,752,0.3594,271
1337,nDCG@10,Text->Image,0.0986,752,0.2735,271
1337,mAP@10,Text->Image,0.0506,752,0.1403,271
1337,Precision@5,Text->Image,0.1029,752,0.2856,271
2021,nDCG@5,Image->Text,0.1528,752,0.4241,271
2021,nDCG@10,Image->Text,0.1156,752,0.3208,271
2021,mAP@10,Image->Text,0.0585,752,0.1624,271
2021,Precision@5,Image->Text,0.112,752,0.3107,271
2021,nDCG@5,Text->Image,0.1538,752,0.4267,271
2021,nDCG@10,Text->Image,0.117,752,0.3246,271
2021,mAP@10,Text->Image,0.0597,752,0.1657,271
2021,Precision@5,Text->Image,0.1136,752,0.3151,271
3407,nDCG@5,Image->Text,0.1536,752,0.4262,271
3407,nDCG@10,Image->Text,0.117,752,0.3247,271
3407,mAP@10,Image->Text,0.0587,752,0.163,271
3407,Precision@5,Image->Text,0.1096,752,0.3041,271
3407,nDCG@5,Text->Image,0.1513,752,0.4199,271
3407,nDCG@10,Text->Image,0.1152,752,0.3196,271
3407,mAP@10,Text->Image,0.0572,752,0.1586,271
3407,Precision@5,Text->Image,0.1088,752,0.3018,271
