direction,metric,seed,n,mean_delta,p_raw,p_bonferroni,sig_raw,n_improved,n_worse,mde_80pct_power
Image->Text,nDCG@5,17,271,-0.00953705386892388,0.0802106248009748,1.0,False,54,69,0.016515938902602445
Image->Text,nDCG@5,42,271,-0.00020793190019071622,0.6714171450072768,1.0,False,72,58,0.01719828238924551
Image->Text,nDCG@5,123,271,-0.0019354990280813066,0.8450823429579437,1.0,False,66,66,0.016614012572615692
Image->Text,nDCG@5,1337,271,0.015270552657202077,0.04235740559750132,1.0,True,96,73,0.0253341462218636
Image->Text,nDCG@5,2021,271,-0.002873956864750261,0.45785690273979784,1.0,False,60,73,0.01509761341729633
Image->Text,nDCG@5,3407,271,-0.009082422070907887,0.2941830933860281,1.0,False,72,69,0.019152358127477422
Image->Text,nDCG@10,17,271,-0.001239870988817747,0.9618031573560811,1.0,False,98,96,0.013313194490957463
Image->Text,nDCG@10,42,271,-0.003390245088105771,0.6820978012676553,1.0,False,93,95,0.013202596474900408
Image->Text,nDCG@10,123,271,-0.004194001531092838,0.5616654866299133,1.0,False,95,95,0.013073830218365532
Image->Text,nDCG@10,1337,271,0.004531179301112865,0.3646068102762028,1.0,False,109,108,0.019391739123000646
Image->Text,nDCG@10,2021,271,0.0037817862852145565,0.811578273313617,1.0,False,97,100,0.012594693178335604
Image->Text,nDCG@10,3407,271,-0.003487108004722017,0.827645813726772,1.0,False,101,105,0.01595040461800583
Image->Text,mAP@10,17,271,-0.007035816786739295,0.22599721868267342,1.0,False,92,102,0.012326411630756689
Image->Text,mAP@10,42,271,-0.0032233643765009145,0.49352255376355647,1.0,False,93,95,0.01316239664401547
Image->Text,mAP@10,123,271,0.0002949100919580651,0.658936121443737,1.0,False,98,92,0.013270669324707173
Image->Text,mAP@10,1337,271,-0.0024707139928542106,0.5937570599810624,1.0,False,111,105,0.01698994536357536
Image->Text,mAP@10,2021,271,0.0013273882738827417,0.5566123680393267,1.0,False,93,104,0.011927698678904622
Image->Text,mAP@10,3407,271,-0.0014729397293972912,0.6490330580124184,1.0,False,101,104,0.01491834966503949
Image->Text,Precision@5,17,271,-0.02066420664206642,0.011212161466436246,0.5381837503889397,True,36,59,0.024952352883964645
Image->Text,Precision@5,42,271,-0.0029520295202952033,0.7523344840337871,1.0,False,47,49,0.026032428925577944
Image->Text,Precision@5,123,271,-1.638705571402445e-18,0.7526110147240825,1.0,False,49,51,0.026527066704962368
Image->Text,Precision@5,1337,271,-0.019926199261992624,0.037233892137341795,1.0,True,53,68,0.030039813291090265
Image->Text,Precision@5,2021,271,-0.00959409594095941,0.3958090889736684,1.0,False,45,59,0.02523188499783423
Image->Text,Precision@5,3407,271,-0.004428044280442804,0.5507085561981542,1.0,False,56,59,0.029430669423370134
Text->Image,nDCG@5,17,271,-0.013459409349722779,0.019314526393025937,0.927097266865245,True,55,78,0.01890310176849539
Text->Image,nDCG@5,42,271,0.0021413343507310453,0.7903682467602393,1.0,False,80,80,0.021777463820694044
Text->Image,nDCG@5,123,271,-0.010678383060760702,0.1251161743303957,1.0,False,65,76,0.01871271672457116
Text->Image,nDCG@5,1337,271,0.06250734319956172,7.246721497943145e-11,3.47842631901271e-09,True,112,49,0.024673078310023387
Text->Image,nDCG@5,2021,271,-0.01797416007675014,0.002350700554407763,0.11283362661157262,True,60,92,0.018413593154019837
Text->Image,nDCG@5,3407,271,-0.008493968173665609,0.15458754816297207,1.0,False,62,74,0.017353528882956323
Text->Image,nDCG@10,17,271,-0.012499328187043648,0.019255147482754177,0.9242470791722005,True,81,108,0.013470966037477255
Text->Image,nDCG@10,42,271,0.00034650712962218405,0.7682433147219536,1.0,False,112,100,0.016866735794400397
Text->Image,nDCG@10,123,271,-0.009469624836862957,0.1441161037992041,1.0,False,95,107,0.015052288263256908
Text->Image,nDCG@10,1337,271,0.05185328081244244,4.764849421352069e-13,2.287127722248993e-11,True,148,60,0.019021590472686832
Text->Image,nDCG@10,2021,271,-0.015043856777833724,0.0009796331841850768,0.04702239284088369,True,77,125,0.013604474729066786
Text->Image,nDCG@10,3407,271,-0.00458119348776565,0.36015633411054326,1.0,False,95,97,0.013844089984437534
Text->Image,mAP@10,17,271,-0.013367451531658173,0.02315043668610385,1.0,True,82,107,0.013126874570395209
Text->Image,mAP@10,42,271,-0.00018728401569730093,0.8777917561122193,1.0,False,109,103,0.01747686396167024
Text->Image,mAP@10,123,271,-0.010037486089146603,0.18442689991742411,1.0,False,95,107,0.01546358145296666
Text->Image,mAP@10,1337,271,0.027647601476014767,7.200178808288969e-09,3.4560858279787055e-07,True,148,60,0.018518877268003334
Text->Image,mAP@10,2021,271,-0.015298717272887011,0.00017539711239793228,0.00841906139510075,True,78,124,0.01235153899761657
Text->Image,mAP@10,3407,271,-0.003679786797867975,0.4206695734860725,1.0,False,94,97,0.01304608981987678
Text->Image,Precision@5,17,271,-0.02066420664206642,0.01471032001332442,0.7060953606395721,True,41,65,0.02677716786155162
Text->Image,Precision@5,42,271,-0.0014760147601476019,0.7176423622881286,1.0,False,61,64,0.031001092971168463
Text->Image,Precision@5,123,271,-0.01771217712177122,0.15916766040483232,1.0,False,49,62,0.028088471299412672
Text->Image,Precision@5,1337,271,0.021402214022140223,0.11123533261470774,1.0,False,63,45,0.03057684072280675
Text->Image,Precision@5,2021,271,-0.02656826568265683,0.002922223153067823,0.1402667113472555,True,46,77,0.02710451560732723
Text->Image,Precision@5,3407,271,-0.009594095940959411,0.3316635390460748,1.0,False,49,56,0.02623236905986422
