architecture,seed,direction,rule,n_test,mrr,mean_rank,median_rank,recall@1,recall@5,recall@10
Paper1,17,i2t,strict,752,1.0,1.0,1.0,1.0,1.0,1.0
Paper1,17,i2t,dup_text,752,1.0,1.0,1.0,1.0,1.0,1.0
Paper1,17,t2i,strict,752,0.9993351063829787,1.0013297872340425,1.0,0.9986702127659575,1.0,1.0
Paper1,17,t2i,dup_text,752,0.9993351063829787,1.0013297872340425,1.0,0.9986702127659575,1.0,1.0
MG-G2L,17,i2t,strict,752,0.9986702127659575,1.002659574468085,1.0,0.9973404255319149,1.0,1.0
MG-G2L,17,i2t,dup_text,752,0.9986702127659575,1.002659574468085,1.0,0.9973404255319149,1.0,1.0
MG-G2L,17,t2i,strict,752,0.9924645390070921,1.0159574468085106,1.0,0.9853723404255319,1.0,1.0
MG-G2L,17,t2i,dup_text,752,0.9924645390070921,1.0159574468085106,1.0,0.9853723404255319,1.0,1.0
Paper1,42,i2t,strict,752,0.98479609929078,1.0325797872340425,1.0,0.9707446808510638,1.0,1.0
Paper1,42,i2t,dup_text,752,0.9855939716312058,1.0305851063829787,1.0,0.9720744680851063,1.0,1.0
Paper1,42,t2i,strict,752,0.9898049645390071,1.0212765957446808,1.0,0.9800531914893617,1.0,1.0
Paper1,42,t2i,dup_text,752,0.9904698581560284,1.0199468085106382,1.0,0.9813829787234043,1.0,1.0
MG-G2L,42,i2t,strict,752,0.995877659574468,1.0086436170212767,1.0,0.9920212765957447,1.0,1.0
MG-G2L,42,i2t,dup_text,752,0.9960106382978723,1.0079787234042554,1.0,0.9920212765957447,1.0,1.0
MG-G2L,42,t2i,strict,752,0.9791445035460992,1.0465425531914894,1.0,0.961436170212766,1.0,1.0
MG-G2L,42,t2i,dup_text,752,0.979720744680851,1.0452127659574468,1.0,0.961436170212766,1.0,1.0
Paper1,123,i2t,strict,752,1.0,1.0,1.0,1.0,1.0,1.0
Paper1,123,i2t,dup_text,752,1.0,1.0,1.0,1.0,1.0,1.0
Paper1,123,t2i,strict,752,0.9919896149949341,1.0226063829787233,1.0,0.9853723404255319,0.9986702127659575,1.0
Paper1,123,t2i,dup_text,752,0.9919896149949341,1.0226063829787233,1.0,0.9853723404255319,0.9986702127659575,1.0
MG-G2L,123,i2t,strict,752,1.0,1.0,1.0,1.0,1.0,1.0
MG-G2L,123,i2t,dup_text,752,1.0,1.0,1.0,1.0,1.0,1.0
MG-G2L,123,t2i,strict,752,0.9960106382978723,1.0079787234042554,1.0,0.9920212765957447,1.0,1.0
MG-G2L,123,t2i,dup_text,752,0.9960106382978723,1.0079787234042554,1.0,0.9920212765957447,1.0,1.0
Paper1,1337,i2t,strict,752,0.8265382261060452,1.6043882978723405,1.0,0.7220744680851063,0.976063829787234,0.9986702127659575
Paper1,1337,i2t,dup_text,752,0.8268675067544748,1.6023936170212767,1.0,0.7220744680851063,0.976063829787234,0.9986702127659575
Paper1,1337,t2i,strict,752,0.83475237619801,1.704122340425532,1.0,0.7353723404255319,0.9667553191489362,0.988031914893617
Paper1,1337,t2i,dup_text,752,0.8353113287988294,1.6888297872340425,1.0,0.7353723404255319,0.9667553191489362,0.9893617021276596
MG-G2L,1337,i2t,strict,752,1.0,1.0,1.0,1.0,1.0,1.0
MG-G2L,1337,i2t,dup_text,752,1.0,1.0,1.0,1.0,1.0,1.0
MG-G2L,1337,t2i,strict,752,0.9993351063829787,1.0013297872340425,1.0,0.9986702127659575,1.0,1.0
MG-G2L,1337,t2i,dup_text,752,0.9993351063829787,1.0013297872340425,1.0,0.9986702127659575,1.0,1.0
Paper1,2021,i2t,strict,752,0.9986702127659575,1.002659574468085,1.0,0.9973404255319149,1.0,1.0
Paper1,2021,i2t,dup_text,752,0.9986702127659575,1.002659574468085,1.0,0.9973404255319149,1.0,1.0
Paper1,2021,t2i,strict,752,0.995345744680851,1.009308510638298,1.0,0.9906914893617021,1.0,1.0
Paper1,2021,t2i,dup_text,752,0.995345744680851,1.009308510638298,1.0,0.9906914893617021,1.0,1.0
MG-G2L,2021,i2t,strict,752,0.9993351063829787,1.0013297872340425,1.0,0.9986702127659575,1.0,1.0
MG-G2L,2021,i2t,dup_text,752,0.9993351063829787,1.0013297872340425,1.0,0.9986702127659575,1.0,1.0
MG-G2L,2021,t2i,strict,752,0.9885859929078014,1.0265957446808511,1.0,0.9787234042553191,1.0,1.0
MG-G2L,2021,t2i,dup_text,752,0.9885859929078014,1.0265957446808511,1.0,0.9787234042553191,1.0,1.0
Paper1,3407,i2t,strict,752,1.0,1.0,1.0,1.0,1.0,1.0
Paper1,3407,i2t,dup_text,752,1.0,1.0,1.0,1.0,1.0,1.0
Paper1,3407,t2i,strict,752,0.9960106382978723,1.0079787234042554,1.0,0.9920212765957447,1.0,1.0
Paper1,3407,t2i,dup_text,752,0.9960106382978723,1.0079787234042554,1.0,0.9920212765957447,1.0,1.0
MG-G2L,3407,i2t,strict,752,1.0,1.0,1.0,1.0,1.0,1.0
MG-G2L,3407,i2t,dup_text,752,1.0,1.0,1.0,1.0,1.0,1.0
MG-G2L,3407,t2i,strict,752,0.9966755319148937,1.0066489361702127,1.0,0.9933510638297872,1.0,1.0
MG-G2L,3407,t2i,dup_text,752,0.9966755319148937,1.0066489361702127,1.0,0.9933510638297872,1.0,1.0
