seed,metric,direction,full_corpus_value,full_corpus_n,restricted_subset_value,restricted_subset_n
17,nDCG@5,Image->Text,0.3417,12429,0.4736,8968
17,nDCG@5,Text->Image,0.3483,12429,0.4827,8968
17,nDCG@10,Image->Text,0.2707,12429,0.3751,8968
17,nDCG@10,Text->Image,0.2789,12429,0.3865,8968
17,mAP@10,Image->Text,0.28,12429,0.388,8968
17,mAP@10,Text->Image,0.2989,12429,0.4142,8968
17,Precision@5,Image->Text,0.3989,12429,0.5528,8968
17,Precision@5,Text->Image,0.4133,12429,0.5728,8968
123,nDCG@5,Image->Text,0.3346,12429,0.4637,8968
123,nDCG@5,Text->Image,0.3529,12429,0.4891,8968
123,nDCG@10,Image->Text,0.2658,12429,0.3683,8968
123,nDCG@10,Text->Image,0.2858,12429,0.396,8968
123,mAP@10,Image->Text,0.267,12429,0.3701,8968
123,mAP@10,Text->Image,0.3103,12429,0.4301,8968
123,Precision@5,Image->Text,0.3858,12429,0.5347,8968
123,Precision@5,Text->Image,0.4226,12429,0.5857,8968
3407,nDCG@5,Image->Text,0.3377,12429,0.468,8968
3407,nDCG@5,Text->Image,0.3478,12429,0.482,8968
3407,nDCG@10,Image->Text,0.2671,12429,0.3702,8968
3407,nDCG@10,Text->Image,0.2781,12429,0.3854,8968
3407,mAP@10,Image->Text,0.2724,12429,0.3776,8968
3407,mAP@10,Text->Image,0.2977,12429,0.4126,8968
3407,Precision@5,Image->Text,0.3897,12429,0.5402,8968
3407,Precision@5,Text->Image,0.4134,12429,0.5729,8968
